escenario,algoritmo,metrica,n_sample,W_stat,p_value,normal
Base,GA,objective,5000,0.096091,1.7860466387113352e-93,No
Base,ACO,objective,5000,0.837027,8.767830409791953e-58,No
Base,Hibrido GA-ACO,objective,5000,0.149478,4.679044357982458e-92,No
Hora Pico,GA,objective,5000,0.213931,3.087905474731025e-90,No
Hora Pico,ACO,objective,5000,0.646607,7.96444296421756e-73,No
Hora Pico,Hibrido GA-ACO,objective,5000,0.252088,4.255912940501558e-89,No
Tienda Congestionada,GA,objective,5000,0.281111,3.3880718795452285e-88,No
Tienda Congestionada,ACO,objective,5000,0.827744,8.425519858033142e-59,No
Tienda Congestionada,Hibrido GA-ACO,objective,5000,0.304044,1.8385654579490435e-87,No
Estres,GA,objective,5000,1.0,1.0,Si
Estres,ACO,objective,5000,0.055504,1.666267722566466e-94,No
Estres,Hibrido GA-ACO,objective,5000,1.0,1.0,Si
Estres Total,GA,objective,5000,1.0,1.0,Si
Estres Total,ACO,objective,5000,0.69998,1.7058809352893146e-69,No
Estres Total,Hibrido GA-ACO,objective,5000,1.0,1.0,Si
