escenario,metrica,comparacion,n_alg1,n_alg2,media_alg1,media_alg2,std_alg1,std_alg2,mediana_alg1,mediana_alg2,U_statistic,p_value,effect_size_r,significativo,interpretacion
Base,Funcion objetivo,GA vs ACO,10000,10000,63.431409,68.029763,0.011161,4.372524,63.43,66.18,35140.5,0.0,0.999297,Si,Diferencia significativa (p < 0.05). GA obtiene valores significativamente menores.
Base,Funcion objetivo,GA vs Hibrido GA-ACO,10000,10000,63.431409,63.432371,0.011161,0.014375,63.43,63.43,49450283.5,7.274421032164194e-08,0.010994,Si,Diferencia significativa (p < 0.05). GA obtiene valores significativamente menores.
Base,Funcion objetivo,ACO vs Hibrido GA-ACO,10000,10000,68.029763,63.432371,4.372524,0.014375,66.18,63.43,99951260.5,0.0,-0.999025,Si,Diferencia significativa (p < 0.05). Hibrido GA-ACO obtiene valores significativamente menores.
Base,Tiempo de ejecucion (s),GA vs ACO,10000,10000,0.354727,0.266474,0.120809,0.020321,0.356665,0.26142,88901822.5,0.0,-0.778036,Si,Diferencia significativa (p < 0.05). ACO obtiene valores significativamente menores.
Base,Tiempo de ejecucion (s),GA vs Hibrido GA-ACO,10000,10000,0.354727,0.399644,0.120809,0.022873,0.356665,0.393775,11718180.0,0.0,0.765636,Si,Diferencia significativa (p < 0.05). GA obtiene valores significativamente menores.
Base,Tiempo de ejecucion (s),ACO vs Hibrido GA-ACO,10000,10000,0.266474,0.399644,0.020321,0.022873,0.26142,0.393775,216234.0,0.0,0.995675,Si,Diferencia significativa (p < 0.05). ACO obtiene valores significativamente menores.
Hora Pico,Funcion objetivo,GA vs ACO,10000,10000,63.434187,69.427348,0.018939,5.657247,63.43,70.33,76157.0,0.0,0.998477,Si,Diferencia significativa (p < 0.05). GA obtiene valores significativamente menores.
Hora Pico,Funcion objetivo,GA vs Hibrido GA-ACO,10000,10000,63.434187,63.435364,0.018939,0.021297,63.43,63.43,49354206.5,4.828337975903083e-05,0.012916,Si,Diferencia significativa (p < 0.05). GA obtiene valores significativamente menores.
Hora Pico,Funcion objetivo,ACO vs Hibrido GA-ACO,10000,10000,69.427348,63.435364,5.657247,0.021297,70.33,63.43,99905181.5,0.0,-0.998104,Si,Diferencia significativa (p < 0.05). Hibrido GA-ACO obtiene valores significativamente menores.
Hora Pico,Tiempo de ejecucion (s),GA vs ACO,10000,10000,0.35591,0.258064,0.021785,0.014062,0.351298,0.255266,99738987.0,0.0,-0.99478,Si,Diferencia significativa (p < 0.05). ACO obtiene valores significativamente menores.
